ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
Laptop_Hendrik_Right,Laptop_Hendrik,Right,1,1,1,1,1,0,6371,0,0
Laptop_Hendrik_Left,Laptop_Hendrik,Left,1,1,1,1,1,0,6371,0,0
Laptop_tanya_Right,Laptop_tanya,Right,0.977040523476065,0,1,0,1,0,8511,200,0
Laptop_tanya_Left,Laptop_tanya,Left,0.913901963035243,0,1,0,1,0,7961,750,0
Stairs_Hendrik_Right,Stairs_Hendrik,Right,0.995216787532788,1,0.995216787532788,0.997602660273761,1,6450,0,0,31
Stairs_Hendrik_Left,Stairs_Hendrik,Left,0.995216787532788,1,0.995216787532788,0.997602660273761,1,6450,0,0,31
Stairs_tanya_Right,Stairs_tanya,Right,0.997131539407185,1,0.997131539407185,0.998563709732576,1,7300,0,0,21
Stairs_tanya_Left,Stairs_tanya,Left,0.771752492828849,1,0.771752492828849,0.871174157736489,1,5650,0,0,1671
Standing_Hendrik_Right,Standing_Hendrik,Right,0.640057590785474,0,1,0,1,0,4001,2250,0
Standing_Hendrik_Left,Standing_Hendrik,Left,0.608062709966405,0,1,0,1,0,3801,2450,0
Standing_tanya_Right,Standing_tanya,Right,0.929732985344308,0,1,0,1,0,4631,350,0
Standing_tanya_Left,Standing_tanya,Left,0.849427825737804,0,1,0,1,0,4231,750,0
Walking_Hendrik_Right,Walking_Hendrik,Right,0.96914052537618,1,0.96914052537618,0.98432845486336,1,3800,0,0,121
Walking_Hendrik_Left,Walking_Hendrik,Left,0.905381280285641,1,0.905381280285641,0.950341319769776,1,3550,0,0,371
Walking_Tanya_Right,Walking_Tanya,Right,0.296310456891608,1,0.296310456891608,0.457159710957086,1,1550,0,0,3681
Walking_Tanya_Left,Walking_Tanya,Left,0.955840183521315,1,0.955840183521315,0.977421561919656,1,5000,0,0,231
