ID,Subject,Wrist,Accuracy,Precision,Recall,F1,Steps,TP,TN,FP,FN
Walking_phoneB_Tanya_Right,Walking_phoneB_Tanya,Right,0.962309065661575,1,0.962309065661575,0.980792559644157,97,4851,0,0,190
Walking_phoneB_Tanya_Left,Walking_phoneB_Tanya,Left,0.952390398730411,1,0.952390398730411,0.975614712456818,96,4801,0,0,240
Walking_phoneL_Hendrik_Right,Walking_phoneL_Hendrik,Right,0.7771767579829,1,0.7771767579829,0.874619538537064,89,4454,0,0,1277
Walking_phoneL_Hendrik_Left,Walking_phoneL_Hendrik,Left,0.916593962659222,1,0.916593962659222,0.956482155863074,105,5253,0,0,478
Walking_phoneL_Tanya_Right,Walking_phoneL_Tanya,Right,0.968051118210863,1,0.968051118210863,0.983766233766234,103,5151,0,0,170
Walking_phoneL_Tanya_Left,Walking_phoneL_Tanya,Left,0.930652133057696,1,0.930652133057696,0.964080599630098,99,4952,0,0,369
Walking_phoneR_Hendrik_Right,Walking_phoneR_Hendrik,Right,0.00817176734497677,1,0.00817176734497677,0.0162110616656071,1,51,0,0,6190
Walking_phoneR_Hendrik_Left,Walking_phoneR_Hendrik,Left,0.850184265342093,1,0.850184265342093,0.919026586992292,106,5306,0,0,935
Walking_phoneR_Tanya_Right,Walking_phoneR_Tanya,Right,0.746455533051004,1,0.746455533051004,0.854823405376911,81,4054,0,0,1377
Walking_phoneR_Tanya_Left,Walking_phoneR_Tanya,Left,0.278033511323881,1,0.278033511323881,0.43509580752053,30,1510,0,0,3921
Walking_pockets_Hendrik_Right,Walking_pockets_Hendrik,Right,0.97638167217761,1,0.97638167217761,0.988049713193117,124,6201,0,0,150
Walking_pockets_Hendrik_Left,Walking_pockets_Hendrik,Left,0.97638167217761,1,0.97638167217761,0.988049713193117,124,6201,0,0,150
Walking_pockets_Tanya_Right,Walking_pockets_Tanya,Right,0.968998256151909,1,0.968998256151909,0.98425506790002,100,5001,0,0,160
Walking_pockets_Tanya_Left,Walking_pockets_Tanya,Left,0.968998256151909,1,0.968998256151909,0.98425506790002,100,5001,0,0,160
Walking_walker_Hendrik_Right,Walking_walker_Hendrik,Right,0,1,0,0,0,0,0,0,5141
Walking_walker_Hendrik_Left,Walking_walker_Hendrik,Left,0,1,0,0,0,0,0,0,5141
Walking_walker_Tanya_Right,Walking_walker_Tanya,Right,0,1,0,0,0,0,0,0,5271
Walking_walker_Tanya_Left,Walking_walker_Tanya,Left,0,1,0,0,0,0,0,0,5271
Laptop_Hendrik_Right,Laptop_Hendrik,Right,1,1,1,1,0,0,6371,0,0
Laptop_Hendrik_Left,Laptop_Hendrik,Left,1,1,1,1,0,0,6371,0,0
Laptop_tanya_Right,Laptop_tanya,Right,0.988405464355413,0,1,0,2,0,8610,101,0
Laptop_tanya_Left,Laptop_tanya,Left,0.994145333486397,0,1,0,1,0,8660,51,0
Stairs_Hendrik_Right,Stairs_Hendrik,Right,0.903255670421231,1,0.903255670421231,0.949169031211998,117,5854,0,0,627
Stairs_Hendrik_Left,Stairs_Hendrik,Left,0.872550532325258,1,0.872550532325258,0.931938035596572,113,5655,0,0,826
Stairs_tanya_Right,Stairs_tanya,Right,0.710695260210354,1,0.710695260210354,0.830884701373363,104,5203,0,0,2118
Stairs_tanya_Left,Stairs_tanya,Left,0.737740745799754,1,0.737740745799754,0.849080333280931,108,5401,0,0,1920
Standing_Hendrik_Right,Standing_Hendrik,Right,0.959526475763878,0,1,0,5,0,5998,253,0
Standing_Hendrik_Left,Standing_Hendrik,Left,0.96768517037274,0,1,0,4,0,6049,202,0
Standing_tanya_Right,Standing_tanya,Right,1,1,1,1,0,0,4981,0,0
Standing_tanya_Left,Standing_tanya,Left,1,1,1,1,0,0,4981,0,0
Walking_Hendrik_Right,Walking_Hendrik,Right,0.905891354246366,1,0.905891354246366,0.950622240064231,71,3552,0,0,369
Walking_Hendrik_Left,Walking_Hendrik,Left,0.638357561846468,1,0.638357561846468,0.779265255292653,50,2503,0,0,1418
Walking_Tanya_Right,Walking_Tanya,Right,0.889504874784936,1,0.889504874784936,0.941521651153379,93,4653,0,0,578
Walking_Tanya_Left,Walking_Tanya,Left,0.917988912253871,1,0.917988912253871,0.957241104355626,96,4802,0,0,429
