BLE Address: 842B55B99BD400
"time	ax	ay	az	gx	gy	gz	mx	my	mz"
"03/06/2025 11:24:15.552	0.976976	-0.157868	0.196908	-0.49	2.24	4.795	-0.6165	-1.0995	-0.318"
"03/06/2025 11:24:15.572	0.967704	-0.152744	0.195932	0.035	2.135	4.69	-0.6015	-1.089	-0.3225"
"03/06/2025 11:24:15.592	0.9699	-0.149572	0.193004	1.225	2.275	4.305	-0.6045	-1.098	-0.3165"
"03/06/2025 11:24:15.612	0.97112	-0.13664	0.188612	2.065	2.415	4.235	-0.6075	-1.089	-0.321"
"03/06/2025 11:24:15.632	0.97478	-0.137616	0.188124	1.47	2.205	3.885	-0.6135	-1.086	-0.3315"
"03/06/2025 11:24:15.652	0.98088	-0.138104	0.194712	0.665	2.03	4.06	-0.6165	-1.0785	-0.3105"
"03/06/2025 11:24:15.672	0.981612	-0.144204	0.19398	0.35	1.715	4.025	-0.6165	-1.0785	-0.3105"
"03/06/2025 11:24:15.692	0.983564	-0.140056	0.191296	0.84	1.54	3.71	-0.6165	-1.0785	-0.3105"
"03/06/2025 11:24:15.712	0.970632	-0.138836	0.195444	0.42	1.155	3.395	-0.6165	-1.083	-0.291"
"03/06/2025 11:24:15.732	0.964044	-0.131516	0.191296	-0.35	0.63	2.87	-0.621	-1.0695	-0.291"
"03/06/2025 11:24:15.752	0.967704	-0.143472	0.194956	0.21	-0.245	1.715	-0.6195	-1.0845	-0.276"
"03/06/2025 11:24:15.772	0.969168	-0.144692	0.201056	1.715	-0.84	0.455	-0.6105	-1.08	-0.279"
"03/06/2025 11:24:15.792	0.97112	-0.143716	0.205448	2.905	-1.19	-0.84	-0.6285	-1.0815	-0.279"
"03/06/2025 11:24:15.812	0.970388	-0.14152	0.2013	3.29	-1.47	-2.135	-0.6315	-1.0905	-0.2685"
"03/06/2025 11:24:15.832	0.976976	-0.144204	0.201544	3.78	-1.75	-3.22	-0.6225	-1.086	-0.2655"
"03/06/2025 11:24:15.852	0.983808	-0.14518	0.210328	4.235	-1.995	-3.85	-0.633	-1.089	-0.2685"
"03/06/2025 11:24:15.872	0.97722	-0.156892	0.214232	3.325	-2.065	-3.815	-0.6255	-1.0755	-0.2625"
