dataset,subject,wrist,precision,recall,f1,accuracy
WearGait,NLS197_FreeWalk,right,0.841726618705036,1.0,0.9140625,0.8757062146892656
WearGait,NLS197_FreeWalk,left,0.8169014084507042,0.9914529914529915,0.8957528957528957,0.847457627118644
WearGait,NLS198_FreeWalk,right,0.7184466019417476,0.4327485380116959,0.5401459854014599,0.5116279069767442
WearGait,NLS198_FreeWalk,left,0.7301587301587301,0.5380116959064327,0.6195286195286195,0.562015503875969
WearGait,NLS209_FreeWalk,right,0.898876404494382,0.851063829787234,0.8743169398907104,0.8152610441767069
WearGait,NLS209_FreeWalk,left,0.8727272727272727,0.7659574468085106,0.8158640226628895,0.7389558232931727
WearGait,NLS210_FreeWalk,right,0.924812030075188,0.7409638554216867,0.822742474916388,0.7557603686635944
WearGait,NLS210_FreeWalk,left,0.8518518518518519,0.8313253012048193,0.8414634146341463,0.7603686635944701
WearGait,NLS211_FreeWalk,right,0.9629629629629629,0.8176100628930818,0.8843537414965986,0.8349514563106796
WearGait,NLS211_FreeWalk,left,0.9337748344370861,0.8867924528301887,0.9096774193548387,0.8640776699029126
WearGait,WPD011_FreeWalk,right,0.7534246575342466,0.625,0.6832298136645962,0.7424242424242424
WearGait,WPD011_FreeWalk,left,0.719626168224299,0.8651685393258427,0.7857142857142857,0.7878787878787878
WearGait,WPD012_FreeWalk,right,0.9855072463768116,0.7083333333333334,0.8242424242424242,0.861244019138756
WearGait,WPD012_FreeWalk,left,0.6979166666666666,0.7282608695652174,0.7127659574468085,0.7416267942583732
WearGait,WPD013_Freewalk,right,0.8518518518518519,0.9787234042553191,0.9108910891089109,0.8860759493670886
WearGait,WPD013_Freewalk,left,0.8811881188118812,0.9468085106382979,0.9128205128205128,0.8924050632911392
WearGait,WPD015_FreeWalk,right,0.6229508196721312,1.0,0.7676767676767676,0.6912751677852349
WearGait,WPD015_FreeWalk,left,0.5241379310344828,1.0,0.6877828054298643,0.5369127516778524
WearGait,WPD016_FreeWalk,right,0.7978723404255319,1.0,0.8875739644970414,0.9177489177489178
WearGait,WPD016_FreeWalk,left,0.6548672566371682,0.9866666666666667,0.7872340425531915,0.8268398268398268
WearGait,WPD017_FreeWalk,right,0.87,0.9157894736842105,0.8923076923076924,0.875
WearGait,WPD017_FreeWalk,left,0.8518518518518519,0.968421052631579,0.9064039408866995,0.8869047619047619
WearGait,WPD019_FreeWalk,right,0.6616541353383458,0.9166666666666666,0.7685589519650655,0.7309644670050761
WearGait,WPD019_FreeWalk,left,0.7768595041322314,0.9791666666666666,0.8663594470046083,0.8527918781725888
WearGait,WPD020_FreeWalk,right,0.5714285714285714,0.8837209302325582,0.6940639269406392,0.6715686274509803
WearGait,WPD020_FreeWalk,left,0.4797687861271676,0.9651162790697675,0.640926640926641,0.5441176470588235
WearGait,WPD021_FreeWalk,right,0.8153846153846154,0.9814814814814815,0.8907563025210085,0.9248554913294798
WearGait,WPD021_FreeWalk,left,0.4732142857142857,0.9814814814814815,0.6385542168674698,0.653179190751445
WearGait,WPD022_FreeWalk,right,0.635593220338983,0.9868421052631579,0.7731958762886598,0.717948717948718
WearGait,WPD022_FreeWalk,left,0.5208333333333334,0.9868421052631579,0.6818181818181818,0.5512820512820513
WearGait,WPD023_FreeWalk,right,0.7153846153846154,0.9029126213592233,0.7982832618025751,0.7863636363636364
WearGait,WPD023_FreeWalk,left,0.668918918918919,0.9611650485436893,0.7888446215139442,0.759090909090909
WearGait,WPD024_FreeWalk,right,0.9591836734693877,0.5053763440860215,0.6619718309859155,0.8048780487804879
WearGait,WPD024_FreeWalk,left,0.8631578947368421,0.8817204301075269,0.8723404255319149,0.9024390243902439
WearGait,WPD025_FreeWalk,right,0.8192090395480226,0.9177215189873418,0.8656716417910447,0.8043478260869565
WearGait,WPD025_FreeWalk,left,0.8333333333333334,0.9493670886075949,0.8875739644970414,0.8347826086956521
WearGait,WPD026_FreeWalk,right,0.8505747126436781,0.8505747126436781,0.8505747126436781,0.8586956521739131
WearGait,WPD026_FreeWalk,left,0.8736842105263158,0.9540229885057471,0.9120879120879121,0.9130434782608695
WearGait,WPD027_FreeWalk,right,0.9761904761904762,0.9213483146067416,0.9479768786127167,0.9502762430939227
WearGait,WPD027_FreeWalk,left,0.967032967032967,0.9887640449438202,0.9777777777777777,0.9779005524861878
WearGait,WPD029_FreeWalk,right,0.6387434554973822,0.976,0.7721518987341772,0.6555023923444976
WearGait,WPD029_FreeWalk,left,0.8411214953271028,0.72,0.7758620689655172,0.7511961722488039
WearGait,NLS193 (control)_FreeWalk,right,0.8098591549295775,0.9913793103448276,0.8914728682170543,0.8435754189944135
WearGait,NLS193 (control)_FreeWalk,left,0.8529411764705882,1.0,0.9206349206349206,0.888268156424581
WearGait,NLS207 (control)_FreeWalk,right,0.9300699300699301,0.9568345323741008,0.9432624113475178,0.9175257731958762
WearGait,NLS207 (control)_FreeWalk,left,0.8782051282051282,0.9856115107913669,0.9288135593220339,0.8917525773195877
WearGait,WHC014_FreeWalk,right,0.6578947368421053,0.7352941176470589,0.6944444444444444,0.6944444444444444
WearGait,WHC014_FreeWalk,left,0.7362637362637363,0.9436619718309859,0.8271604938271605,0.8055555555555556
WearGait,WHC015_FreeWalk,right,0.6134453781512605,0.9864864864864865,0.7564766839378239,0.678082191780822
WearGait,WHC015_FreeWalk,left,0.5736434108527132,1.0,0.729064039408867,0.6232876712328768
WearGait,WHC016_FreeWalk,right,0.7596153846153846,0.9186046511627907,0.8315789473684211,0.8446601941747572
WearGait,WHC016_FreeWalk,left,0.640625,0.9534883720930233,0.7663551401869159,0.7572815533980582
WearGait,WHC017_FreeWalk,right,0.7894736842105263,1.0,0.8823529411764706,0.8639455782312925
WearGait,WHC017_FreeWalk,left,0.7575757575757576,1.0,0.8620689655172413,0.8367346938775511
WearGait,WHC018_FreeWalk,right,0.8125,1.0,0.896551724137931,0.8809523809523809
WearGait,WHC018_FreeWalk,left,0.8904109589041096,1.0,0.9420289855072463,0.9365079365079365
WearGait,WHC019_FreeWalk,right,0.822429906542056,0.946236559139785,0.88,0.864406779661017
WearGait,WHC019_FreeWalk,left,0.7545454545454545,0.8924731182795699,0.8177339901477833,0.7909604519774012
WearGait,WHC020_FreeWalk,right,0.5882352941176471,0.9210526315789473,0.717948717948718,0.6820809248554913
WearGait,WHC020_FreeWalk,left,0.5847457627118644,0.9078947368421053,0.711340206185567,0.6763005780346821
WearGait,WHC021_FreeWalk,right,0.743801652892562,0.9782608695652174,0.8450704225352113,0.8186813186813187
WearGait,WHC021_FreeWalk,left,0.7244094488188977,1.0,0.8401826484018264,0.8076923076923077
WearGait,WHC022_FreeWalk,right,0.6981132075471698,0.9736842105263158,0.8131868131868132,0.7901234567901234
WearGait,WHC022_FreeWalk,left,0.5671641791044776,1.0,0.7238095238095238,0.6419753086419753
WearGait,WHC024_FreeWalk,right,0.9117647058823529,0.9207920792079208,0.916256157635468,0.9055555555555556
WearGait,WHC024_FreeWalk,left,0.7575757575757576,0.9900990099009901,0.8583690987124464,0.8166666666666667
WearGait,WHC025_FreeWalk,right,0.9102564102564102,0.6635514018691588,0.7675675675675676,0.7932692307692307
WearGait,WHC025_FreeWalk,left,0.8974358974358975,0.9813084112149533,0.9375,0.9326923076923077
WearGait,WHC026_FreeWalk,right,0.5071428571428571,0.9861111111111112,0.6698113207547169,0.6354166666666666
WearGait,WHC026_FreeWalk,left,0.4897959183673469,1.0,0.6575342465753424,0.609375
WearGait,WHC027_FreeWalk,right,0.8181818181818182,0.8674698795180723,0.8421052631578947,0.8676470588235294
WearGait,WHC027_FreeWalk,left,0.7272727272727273,0.963855421686747,0.8290155440414507,0.8382352941176471
WearGait,WHC029_FreeWalk,right,0.8817204301075269,0.8723404255319149,0.8770053475935828,0.8783068783068783
WearGait,WHC029_FreeWalk,left,0.8217821782178217,0.8829787234042553,0.8512820512820513,0.8465608465608465
WearGait,WHC030_FreeWalk,right,0.7592592592592593,1.0,0.8631578947368421,0.8555555555555555
WearGait,WHC030_FreeWalk,left,0.675,0.9878048780487805,0.801980198019802,0.7777777777777778
WearGait,WHC032_FreeWalk,right,0.768595041322314,0.9789473684210527,0.8611111111111112,0.8285714285714286
WearGait,WHC032_FreeWalk,left,0.7563025210084033,0.9473684210526315,0.8411214953271028,0.8057142857142857
WearGait,WHC033_FreeWalk,right,0.801980198019802,0.9759036144578314,0.8804347826086957,0.8562091503267973
WearGait,WHC033_FreeWalk,left,0.7980769230769231,1.0,0.8877005347593583,0.8627450980392157
HMP,f1,right,0.7152380952380952,0.846674182638106,0.7754259163655137,0.8689759036144579
HMP,f2,right,0.6041666666666666,0.29,0.3918918918918919,0.8512396694214877
HMP,f3,right,0.9558823529411765,0.5118110236220472,0.6666666666666666,0.8302872062663186
HMP,f4,right,0.0,0.0,0.0,0.9428838951310862
HMP,f5,right,0.0,0.0,0.0,0.8062015503875969
HMP,m1,right,0.7521367521367521,0.6017094017094017,0.6685660018993352,0.7538787023977433
HMP,m10,right,0.0,0.0,0.0,0.8389830508474576
HMP,m11,right,0.0,0.0,0.0,1.0
HMP,m2,right,0.7827380952380952,0.775811209439528,0.7792592592592592,0.8364434687156971
HMP,m3,right,0.8507462686567164,0.4830508474576271,0.6162162162162163,0.8677839851024208
HMP,m4,right,0.7209302325581395,0.4806201550387597,0.5767441860465117,0.7741935483870968
HMP,m5,right,1.0,0.8167330677290837,0.8991228070175439,0.8167330677290837
HMP,m6,right,1.0,0.7418032786885246,0.851764705882353,0.7418032786885246
HMP,m7,right,1.0,0.9624724061810155,0.9808773903262092,0.9624724061810155
HMP,m8,right,0.0,0.0,0.0,0.9722222222222222
HMP,m9,right,0.0,0.0,0.0,1.0
