Subject,Wrist,Duration_sec,NumWindows,Accuracy,Precision,Recall,F1
WPD020_FreeWalk,right,195.02848101265826,196,0.7602040816326531,0.656934306569343,1.0,0.7929515418502202
WPD020_FreeWalk,left,195.02848101265826,196,0.9183673469387755,0.8490566037735849,1.0,0.9183673469387755
WPD021_FreeWalk,right,164.00313156387244,165,0.9454545454545454,0.8656716417910447,1.0,0.928
WPD021_FreeWalk,left,164.00313156387244,165,0.8363636363636363,0.6962025316455697,0.9482758620689655,0.8029197080291971
WPD022_FreeWalk,right,147.01553254437871,148,0.7027027027027027,0.8269230769230769,0.5512820512820513,0.6615384615384615
WPD022_FreeWalk,left,147.01553254437871,148,0.8513513513513513,0.8111111111111111,0.9358974358974359,0.8690476190476191
WPD023_FreeWalk,right,211.00318010550112,212,0.5849056603773585,0.609375,0.38235294117647056,0.46987951807228917
WPD023_FreeWalk,left,211.00318010550112,212,0.6273584905660378,0.7948717948717948,0.30392156862745096,0.4397163120567376
WPD024_FreeWalk,right,237.02238262277388,238,0.957983193277311,0.9555555555555556,0.9347826086956522,0.945054945054945
WPD024_FreeWalk,left,237.02238262277388,238,0.9663865546218487,0.9375,0.9782608695652174,0.9574468085106383
WPD025_FreeWalk,right,221.0031839792537,222,0.33783783783783783,0.75,0.16363636363636364,0.26865671641791045
WPD025_FreeWalk,left,221.0031839792537,222,0.4369369369369369,0.9761904761904762,0.24848484848484848,0.3961352657004831
WPD026_FreeWalk,right,175.02836304700162,176,0.8693181818181818,0.9090909090909091,0.8421052631578947,0.8743169398907104
WPD026_FreeWalk,left,175.02836304700162,176,0.9147727272727273,0.8636363636363636,1.0,0.926829268292683
WPD027_FreeWalk,right,172.01570489408329,173,0.9190751445086706,0.8666666666666667,1.0,0.9285714285714286
WPD027_FreeWalk,left,172.01570489408329,173,0.9132947976878613,0.8584905660377359,1.0,0.9238578680203046
WPD029_FreeWalk,right,200.00949667616337,201,0.7761194029850746,0.946236559139785,0.6875,0.7963800904977375
WPD029_FreeWalk,left,200.00949667616337,201,0.7263681592039801,0.792,0.7734375,0.782608695652174
